"","OBJECTID","GEOID2","GEOID","GEOLABEL","HISL01_E","HISL02_E","HISL04_E","HISL05_E","HISL06_E","HISL07_E","HISL08_E","HISL09_E","HISL10_E","SXAG17_E","SXAG04_E","SXAG05_E","SXAG06_E","SXAG07_E","SXAG08_E","SXAG09_E","SXAG10_E","SXAG11_E","SXAG12_E","SXAG13_E","SXAG14_E","SXAG15_E","SXAG16_E","INC01_E","INC02_E","INC03_E","INC04_E","INC05_E","INC06_E","INC07_E","INC08_E","INC09_E","INC10_E","INC11_E","INC12_E","INC13_E","bcode","postalcity","borough","ems_boroughs","inc_ineq","zip_pop","pct_b","pct_nw","pct_lat","pct_pov","zip_code"
"75",100,10468,"8600000US10468","ZCTA5 10468",77657,57663,2582,13133,391,2684,0,466,738,32,7333,5332,4896,4755,6686,14015,9370,10263,4491,3171,4434,2088,823,25557,3556,2425,3891,2786,3810,4040,2764,1597,385,303,35398,47257,36005,"Bronx","Bronx","BROOKLYN",0.182,77657,0.169115469307339,0.96675122654751,0.742534478540247,0.386273819305865,10468
"76",101,10469,"8600000US10469","ZCTA5 10469",73008,20217,8109,38340,393,4431,105,500,913,39.3,3776,3935,4594,5204,5672,9745,9003,10459,4676,4103,6073,3843,1925,22038,1626,1101,2059,2139,2488,3759,2919,3737,1253,957,61090,74763,36005,"Bronx","Bronx","BROOKLYN",0.393,73008,0.525147928994083,0.888929980276134,0.276914858645628,0.21717034213631,10469
"77",102,10470,"8600000US10470","ZCTA5 10470",14592,2908,5904,4969,0,555,0,48,208,41.3,641,687,795,695,902,2226,2018,2186,971,836,1169,974,492,5925,306,581,612,368,725,1112,908,798,280,235,56658,71731,36005,"Bronx","Bronx","BROOKLYN",0.361,14592,0.340529057017544,0.595394736842105,0.199287280701754,0.252995780590717,10470
"78",103,10471,"8600000US10471","ZCTA5 10471",22040,4848,13174,1967,0,1501,0,170,380,42.9,1360,924,911,1608,1535,2721,2375,2411,1326,1705,2181,1702,1281,8726,573,307,474,567,838,1233,1367,1664,749,954,80932,107457,36005,"Bronx","Bronx","BROOKLYN",0.52,22040,0.0892468239564428,0.402268602540835,0.219963702359347,0.155168462067385,10471
"79",104,10472,"8600000US10472","ZCTA5 10472",68924,43710,1756,17132,228,3991,0,868,1239,32.4,5421,5526,4604,5095,5957,10646,8791,8672,3167,3240,4418,2432,955,21813,3538,2507,3247,2918,2938,2961,1517,1513,501,173,30593,43326,36005,"Bronx","Bronx","BROOKLYN",0.174,68924,0.248563635308456,0.974522662642911,0.6341767744182,0.425984504653188,10472
"80",105,10473,"8600000US10473","ZCTA5 10473",62531,38195,1468,20822,183,1052,0,312,499,35.5,4012,3822,4635,4221,5630,8515,7254,8653,3745,3576,4741,2795,932,20890,2591,2164,2754,2192,2456,3480,1824,2143,785,501,38924,56150,36005,"Bronx","Bronx","BROOKLYN",0.293,62531,0.33298683852809,0.976523644272441,0.610817034750764,0.359454284346577,10473
"81",106,10474,"8600000US10474","ZCTA5 10474",12608,8609,97,3852,12,0,0,30,8,29.9,1005,1088,977,1053,1130,2389,1492,1696,356,527,596,200,99,3514,705,450,559,423,566,395,228,121,26,41,25896,39015,36005,"Bronx","Bronx","BROOKLYN",0.103,12608,0.305520304568528,0.992306472081218,0.682820431472081,0.487763232783153,10474
"82",107,10475,"8600000US10475","ZCTA5 10475",44241,14128,3104,24815,10,648,0,896,640,45.6,1750,2880,1876,1979,3495,4233,5792,5847,2772,3446,5559,3215,1397,18792,1160,1263,1584,2278,3345,3916,2266,1887,799,294,48734,61030,36005,"Bronx","Bronx","BROOKLYN",0.267,44241,0.560905042833571,0.929838837277638,0.31934178703013,0.213229033631332,10475
"83",108,11001,"8600000US11001","ZCTA5 11001",28010,3315,17454,1453,6,5210,0,70,502,42,1453,1748,1671,1604,1731,3407,3267,4228,2248,2087,2464,1172,930,9109,212,116,451,437,678,1152,1220,1903,1446,1494,104890,125651,36081,"Floral Park","Queens","QUEENS",0.601,28010,0.0518743305962156,0.376865405212424,0.11835058907533,0.0855198155670216,11001
"84",109,11003,"8600000US11003","ZCTA5 11003",45439,9106,6936,20796,46,6282,13,741,1519,38.2,1945,2544,2598,3200,3767,6536,5585,6926,3769,2553,3667,1506,843,12106,222,306,546,649,1304,1605,1637,3137,1464,1236,94746,108335,36081,"Elmont","Queens","QUEENS",0.532,45439,0.457668522634741,0.847355795682123,0.200400536983648,0.0887163390054518,11003
