"","OBJECTID","GEOID2","GEOID","GEOLABEL","HISL01_E","HISL02_E","HISL04_E","HISL05_E","HISL06_E","HISL07_E","HISL08_E","HISL09_E","HISL10_E","SXAG17_E","SXAG04_E","SXAG05_E","SXAG06_E","SXAG07_E","SXAG08_E","SXAG09_E","SXAG10_E","SXAG11_E","SXAG12_E","SXAG13_E","SXAG14_E","SXAG15_E","SXAG16_E","INC01_E","INC02_E","INC03_E","INC04_E","INC05_E","INC06_E","INC07_E","INC08_E","INC09_E","INC10_E","INC11_E","INC12_E","INC13_E","bcode","postalcity","borough","ems_boroughs","inc_ineq","zip_pop","pct_b","pct_nw","pct_lat","pct_pov","zip_code"
"169",199,11426,"8600000US11426","ZCTA5 11426",21166,4346,6403,908,12,8917,0,148,432,38.4,1518,1122,1207,1222,1421,3315,2387,2875,1711,1427,2029,502,430,6388,276,159,395,258,617,1072,965,1245,862,539,83376,99999,36081,"Bellerose","Queens","QUEENS",0.514,21166,0.0428989889445337,0.697486535008977,0.20532930171029,0.129931120851597,11426
"170",200,11427,"8600000US11427","ZCTA5 11427",23809,3999,4562,4954,90,7973,0,1014,1217,42.1,1521,1122,1075,1261,1519,3050,3191,3571,1690,2065,2030,1103,611,7487,472,274,397,555,799,1397,958,1408,687,540,72874,96719,36081,"Queens Village","Queens","QUEENS",0.471,23809,0.208072577596707,0.808391784619262,0.167961695157293,0.152664618672365,11427
"171",201,11428,"8600000US11428","ZCTA5 11428",19859,4925,2548,3661,3,5026,22,1605,2069,40,986,1097,1148,1264,1298,2925,2536,3133,1468,1241,1994,561,208,5611,214,143,506,542,593,957,854,1090,468,244,71663,82700,36081,"Queens Village","Queens","QUEENS",0.419,19859,0.184349665139232,0.87169545294325,0.247998388639911,0.153805025842096,11428
"172",202,11429,"8600000US11429","ZCTA5 11429",27667,3472,395,21020,193,723,52,1347,465,39.5,1399,1350,1537,1671,2186,4060,3622,4178,1988,1715,2342,1243,376,7387,266,333,522,468,751,1075,1239,1441,862,430,80464,91927,36081,"Queens Village","Queens","QUEENS",0.47,27667,0.759749882531536,0.985723063577547,0.125492463946218,0.151753079734669,11429
"173",204,11432,"8600000US11432","ZCTA5 11432",65098,16740,8198,9383,189,26455,22,1837,2274,35.1,4661,3684,3819,5379,5388,9489,8082,8118,4150,3610,4684,2888,1146,18390,1186,841,2072,1964,2618,3387,1971,2389,938,1024,52975,75650,36081,"Jamaica","Queens","QUEENS",0.387,65098,0.144136532612369,0.874066791606501,0.257150757319733,0.22289287656335,11432
"174",205,11433,"8600000US11433","ZCTA5 11433",36019,7005,199,23514,116,2593,9,1936,647,34.4,2218,2308,2520,2711,2966,5580,4560,4636,2042,2061,2652,1208,557,10423,940,690,1193,816,1761,1654,1208,1419,452,290,48795,66108,36081,"Jamaica","Queens","QUEENS",0.329,36019,0.652822121658014,0.994475138121547,0.19448069074655,0.270843327257028,11433
"175",206,11434,"8600000US11434","ZCTA5 11434",66725,5433,1061,56318,0,1390,0,1471,1052,37.5,4432,3746,4305,4137,4848,9868,8219,9346,4951,3178,5148,2963,1584,20993,1049,1000,1644,1767,2974,4270,2739,3647,1410,493,60702,73933,36081,"Jamaica","Queens","QUEENS",0.36,66725,0.844031472461596,0.984098913450731,0.0814237542150618,0.17591578145096,11434
"176",207,11435,"8600000US11435","ZCTA5 11435",59214,18130,7021,13300,0,13997,7,4699,2060,35.4,3962,3703,3076,2884,3748,11855,8017,7878,3668,3266,4135,2186,836,18795,1064,822,1985,1820,2152,3684,2628,2600,1289,751,59535,74494,36081,"Jamaica","Queens","QUEENS",0.381,59214,0.22460904515824,0.881430067213835,0.306177593136758,0.205959031657356,11435
"177",208,11436,"8600000US11436","ZCTA5 11436",20905,3279,281,12543,96,2138,0,1706,862,35.9,1157,1349,1462,1181,1693,3329,2890,3212,1293,1134,1341,530,334,5628,189,216,314,344,771,1136,896,1119,463,180,69259,84711,36081,"Jamaica","Queens","QUEENS",0.4,20905,0.6,0.986558239655585,0.156852427648888,0.127754086709311,11436
"178",211,11691,"8600000US11691","ZCTA5 11691",65356,18083,16065,28451,0,1846,62,272,577,31.9,7040,5959,4339,4022,4403,9231,7077,7475,3992,3411,4314,2928,1165,20155,2983,1670,2364,1763,2550,3289,2021,2077,900,538,42434,58683,36081,"Far Rockaway","Queens","QUEENS",0.321,65356,0.43532345920803,0.754192423036906,0.276684619621764,0.348151823368891,11691
"179",212,11692,"8600000US11692","ZCTA5 11692",20242,5312,1890,11196,30,1193,0,312,309,33.9,1463,1743,1616,1494,1256,2858,2437,2804,1337,1024,1312,643,255,6417,627,547,704,542,1075,991,742,730,266,193,45816,62707,36081,"Arverne","Queens","QUEENS",0.321,20242,0.553107400454501,0.906629779666041,0.262424661594704,0.292660121552127,11692
"180",213,11693,"8600000US11693","ZCTA5 11693",12709,3543,5882,2316,0,591,0,173,204,38.5,1080,941,654,645,897,1419,1730,2089,837,809,1165,404,39,4767,550,160,592,416,455,745,535,735,416,163,57443,71165,36081,"Far Rockaway","Queens","QUEENS",0.408,12709,0.182233063183571,0.537178377527736,0.278778818160359,0.273127753303965,11693
"181",214,11694,"8600000US11694","ZCTA5 11694",21003,2895,15846,1250,53,616,0,189,154,49,1237,784,1218,1116,761,2413,2014,3293,2066,1608,2418,1278,797,8319,540,316,529,584,723,1316,1281,1159,1011,860,77547,104387,36081,"Rockaway Park","Queens","QUEENS",0.523,21003,0.0595153073370471,0.245536351949721,0.137837451792601,0.166486356533237,11694
"182",215,11697,"8600000US11697","ZCTA5 11697",3702,180,3476,11,0,9,0,26,0,49.1,193,206,267,219,218,268,303,582,246,307,420,324,149,1398,32,28,83,68,159,232,98,285,175,238,99792,124884,36081,"Breezy Point","Queens","QUEENS",0.591,3702,0.00297136682874122,0.0610480821177742,0.0486223662884927,0.102288984263233,11697
