,latlon,zip_code
148523,"40.680454,-73.87611",11208
149087,"40.669857,-73.95051",11216
149652,"40.57684,-73.982895",11224
150218,"40.89417,-73.856964",10466
150785,"40.864403,-73.923775",10034
151353,"40.589684,-73.79881",11692
151922,"40.86221,-73.89965",10468
152492,"40.709328,-73.955894",11211
153063,"40.87296,-73.87495",10467
153635,"40.858517,-73.86784",10467
154208,"40.851936,-73.91078",10453
154782,"40.790314,-73.94769",10029
155357,"40.735466,-73.87771",11373
155933,"40.70171,-73.811646",11435
156510,"40.713318,-73.76402",11423
157088,"40.663345,-73.98123",11215
157667,"40.667908,-73.76281",11413
158247,"40.601696,-74.12518",10314
158828,"40.634567,-74.1172",10310
159410,"40.7406,-73.879326",11373
159993,"40.733986,-73.95226",11222
160577,"40.59281,-73.97877",11223
161162,"40.86357,-73.92602",10040
161748,"40.602295,-73.752174",11691
162335,"40.72114,-73.942825",11222
162923,"40.66336,-73.95975",11225
163512,"40.82725,-73.91754",10451
164102,"40.771152,-73.97966",10023
164693,"40.741272,-73.97535",10016
165285,"40.693295,-73.80802",11435
165878,"40.697285,-73.79446",11433
166472,"40.868473,-73.842415",10469
167067,"40.88424,-73.84928",10466
167663,"40.67624,-73.866104",11208
168260,"40.6605,-73.928566",11203
168858,"40.80777,-73.94549",10027
169457,"40.84036,-73.91807",10452
170057,"40.833412,-73.85906",10462
170658,"40.68529,-73.976204",11217
171260,"40.639084,-74.009415",11220
171863,"40.63765,-73.9528",11210
172467,"40.81404,-73.9367",10037
173072,"40.791557,-73.93866",10029
173678,"40.67302,-73.767624",11434
174285,"40.702217,-73.94446",11206
174893,"40.68662,-73.82319",11419
175502,"40.610214,-73.94371",11229
176112,"40.79157,-73.94469",10029
176723,"40.61244,-74.13231",10314
177335,"40.768936,-73.86855",11369
177948,"40.586205,-73.97035",11223
178562,"40.832558,-73.857346",10472
179177,"40.82325,-73.88277",10472
179793,"40.860527,-73.91939",10034
180410,"40.728474,-73.9757",10009
181028,"40.710777,-73.86502",11385
181647,"40.669098,-73.93666",11213
182267,"40.854115,-73.89091",10458
182888,"40.739506,-73.98476",10010
183510,"40.613075,-74.12257",10314
184133,"40.77613,-73.910706",11105
184757,"40.75855,-73.82964",11355
185382,"40.677174,-73.924774",11233
186008,"40.864113,-73.92126",10034
186635,"40.82077,-73.95459",10031
187263,"40.738792,-73.98026",10010
187892,"40.746037,-73.990524",10001
188522,"40.625103,-74.14877",10303
189153,"40.70992,-73.9623",11211
189785,"40.81261,-73.95683",10027
190418,"40.796074,-73.94349",10029
191052,"40.734848,-73.991936",10003
191687,"40.70297,-73.86825",11385
192323,"40.64759,-74.01142",11220
192960,"40.65743,-73.9451",11203
193598,"40.735874,-73.9853",10003
194237,"40.70935,-73.84283",11375
194877,"40.68187,-73.955826",11238
195518,"40.831127,-73.91745",10456
196160,"40.757175,-73.90558",11377
196803,"40.84219,-73.89411",10457
197447,"40.624912,-74.146706",10314
198092,"40.66538,-73.89222",11207
198738,"40.67772,-73.86486",11208
199385,"40.804375,-73.93742",10035
200033,"40.7366,-73.98185",10010
200682,"40.680115,-73.75324",11413
201332,"40.745884,-73.91214",11377
201983,"40.710373,-73.78446",11432
202635,"40.705334,-73.95951",11211
203288,"40.69024,-73.9482",11216
203942,"40.66747,-73.9396",11213
204597,"40.826153,-73.920265",10451
205253,"40.78324,-73.97455",10024
205910,"40.751102,-73.8912",11372
206568,"40.761223,-73.9238",11106
207227,"40.77344,-73.92097",11102
207887,"40.673767,-73.76381",11434
208548,"40.75776,-73.7834",11361
209210,"40.746906,-73.86371",11368
209873,"40.76465,-73.823494",11354
210537,"40.6686,-73.99342",11215
211202,"40.664413,-73.88727",11207
211868,"40.64647,-74.01258",11220
212535,"40.64861,-73.99952",11232
213203,"40.644478,-74.00022",11232
213872,"40.63554,-73.92284",11234
214542,"40.738552,-73.99969",10011
215213,"40.73715,-73.930824",11101
215885,"40.688446,-73.81848",11419
216558,"40.665916,-73.92547",11233
217232,"40.649094,-74.01694",11232
217907,"40.852615,-73.90351",10453
218583,"40.851093,-73.93244",10033
219260,"40.850166,-73.93576",10033
219938,"40.788994,-73.94656",10029
220617,"40.790253,-73.94564",10029
221297,"40.762966,-73.9819",10019
221978,"40.735447,-73.98563",10003
222660,"40.72293,-73.98865",10002
223343,"40.71918,-73.99029",10002
224027,"40.74339,-73.98615",10016
224712,"40.77936,-73.97737",10023
225398,"40.60477,-74.140625",10314
226085,"40.638523,-74.01",11220
226773,"40.60562,-74.08594",10304
227462,"40.865303,-73.89006",10458
228152,"40.804264,-73.91349",10454
228843,"40.68422,-73.75104",11413
229535,"40.753933,-73.86122",11368
230228,"40.687008,-73.82219",11419
230922,"40.73328,-73.95213",11222
231617,"40.705765,-73.896576",11385
232313,"40.859623,-73.88747",10458
233010,"40.83312,-73.912155",10456
233708,"40.8623,-73.92943",10040
234407,"40.7304,-73.815056",11367
235107,"40.703728,-73.93472",11206
235808,"40.706463,-73.96078",11211
236510,"40.704636,-73.94104",11206
237213,"40.639317,-73.9368",11203
237917,"40.875,-73.87471",10467
238622,"40.77235,-73.94666",10028
239328,"40.61749,-73.97764",11204
240035,"40.667824,-73.93122",11213
241450,"40.54669,-74.15806",10308
242159,"40.61239,-74.13296",10314
242869,"40.63814,-74.14349",10302
243580,"40.597157,-74.168144",10314
244292,"40.76548,-73.913704",11103
245005,"40.73195,-73.863434",11374
245719,"40.603275,-73.99606",11214
246434,"40.59039,-73.99155",11214
247150,"40.606598,-74.16581",10314
247867,"40.865685,-73.823425",10475
248585,"40.760494,-73.8614",11369
249304,"40.72857,-73.85809",11374
250024,"40.675236,-73.97106",11217
250745,"40.73549,-73.97533",10010
251467,"40.7374,-73.931915",11101
252190,"40.69439,-73.86174",11421
252914,"40.723347,-73.939316",11222
254363,"40.68366,-73.90788",11207
255089,"40.865387,-73.893456",10458
255816,"40.83932,-73.91503",10452
256544,"40.846165,-73.89628",10457
257273,"40.854496,-73.88543",10458
258003,"40.88698,-73.84745",10466
258734,"40.856045,-73.90079",10453
259466,"40.846237,-73.91818",10453
260199,"40.837864,-73.9114",10456
260933,"40.770573,-73.982155",10023
261668,"40.757122,-73.97192",10022
262404,"40.718555,-73.988205",10002
263141,"40.787678,-73.81876",11357
263879,"40.79275,-73.97132",10025
264618,"40.679955,-73.97491",11217
265358,"40.63695,-74.022484",11220
266099,"40.71407,-73.954346",11211
266841,"40.75348,-73.97879",10017
267584,"40.808483,-73.964966",10027
268328,"40.706768,-73.75373",11412
269073,"40.75738,-73.966705",10022
269819,"40.74453,-73.98888",10001
270566,"40.83401,-73.85348",10462
271314,"40.594265,-74.07909",10305
272063,"40.73555,-73.934784",11101
272813,"40.709343,-73.8178",11435
273564,"40.68038,-73.85967",11416
274316,"40.71044,-73.833046",11415
275069,"40.68963,-73.98575",11201
275823,"40.687637,-73.94477",11221
276578,"40.67289,-73.906685",11212
277334,"40.66525,-73.94816",11225
